Adam 	﻿A Dong 
Anything at all 	Gì cả 
At all 	Gì hết 
To not know anything 	Gì không biết 
Anything else, what else 	Gì nữa 
Whatever the case may be 	Gì thì gì 
Something like that 	Gì đó 
To keep, preserve 	Gìn 
To conserve, take care of 	Gìn giữ 
Forge written style 	Gò gẫm 
Cheek-bone 	Gò má 
Constrain to follow some rule of behavior 	Gò ép 
Hills and mounds 	Gò đống 
Cotton-wool, kapok 	Gòn 
Widow, widower, widowed 	Góa 
Widow 	Góa bụa 
Widow 	Góa phụ 
Widowed, widower 	Góa vợ 
Angle, corner, position 	Góc 
Supplementary angles 	Góc bù 
Straight angle 	Góc bẹt 
Adjacent angle 	Góc kề 
Acute angle 	Góc nhọn 
Azimuth 	Góc phương vị 
Corner 	Góc phố 
Internal angle 	Góc trong 
Obtuse angle 	Góc tù 
Quarter, quadrant 	Góc tư 
Right angle 	Góc vuông 
Streetcorner 	Góc đường 
-degree angle 	Góc đầy 
Vertically opposite angles 	Góc đối đỉnh 
Angle, point of view 	Góc độ 
Packet, parcel, package; to pack, wrap, bundle 	Gói 
Postal package 	Gói bưu 
Packet data 	Gói dữ liệu 
To package, bundle, pack, tie up 	Gói gém 
Package 	Gói hàng 
Pack of cigarettes 	Gói thuốc 
To accumulate, gather, contribute, pool, collect 	Góp 
Join in a conversation 	Góp chuyện 
To attend, participate 	Góp mặt 
To collect, pick up, amass, accumulate 	Góp nhặt 
To contribute, take part in, participate in 	Góp phần 
To contribute enormously, greatly 	Góp phần lớn lao 
To give hands to, contribute 	Góp sức 
To contribute money 	Góp tiền 
To join in the fun 	Góp vui 
To join capital in a business 	Góp vốn 
To offer advice, make suggestions, point out, give or contribute one’s opinion 	Góp ý 
Heel of foot, heel 	Gót chân 
Heel of shoe 	Gót giày 
Majestic step 	Gót ngọc 
Graceful feel of a beautiful woman 	Gót sen 
Frail heels of a beautiful woman 	Gót son 
Iron heel 	Gót sắt 
Heel of a beautiful girl 	Gót tiên 
Fairy feet, dainty feet of a 	Gót tiền 
From beginning to end 	Gót đầu 
Gothic 	Gô tích 
Of Cambodian origin 	Gôc Cam Bốt 
Eraser 	Gôm 
Golf 	Gôn 
Stocks form of punishment 	Gông 
Cangue and stocks, slavery, deprive sb of freedom, chain 	Gông cùm 
1 to knock, hit; 2 to enter, type 	Gõ 
To knock on a door 	Gõ cửa 
To knock 	Gõ gõ 
Woodpecker 	Gõ kiến 
To knock lightly 	Gõ nhẹ 
To be a teacher 	Gõ đầu trẻ 
To hit, smash 	Gõ đập 
To coo 	Gù 
Hunch-backed, hump-backed 	Gù lưng 
Try to make approaches to a girl 	Gùn ghè 
Knot 	Gút 
Point, prick 	Găm 
Tense tight 	Găng 
Gangster 	Găng tơ 
Gunman, gangster 	Găng xtơ 
To face difficulties 	Găp khó kăn 
Nurse a strain of sweet potato 	Gơ 
Sword 	Gươm 
Valuable sword 	Gươm báu 
Sword and scimitar, weapons 	Gươm đao 
1 mirror; 2 example, pattern, model 	Gương 
Rear-view mirror 	Gương hậu 
Face 	Gương lò 
Concave mirror 	Gương lõm 
Convex mirror 	Gương lồi 
Good example, exemplary, model 	Gương mẫu 
Look, expression of the face 	Gương mặt 
Phoebe, phoebe’s lamp, the moon 	Gương nga 
Plane mirror 	Gương phẳng 
Lotus seed-pod 	Gương sen 
Mirror 	Gương soi 
Good example 	Gương sáng 
Striking example 	Gương tày liếp 
The broken mirror made whole again, the 	Gương vỡ lại lành 
Bad example 	Gương xấu 
To growl, glower 	Gườm 
To stop, wait a while 	Gượm 
To try to, make a effort to 	Gượng 
Gingerly 	Gượng nhẹ 
Forced 	Gượng ép 
To try to stand up 	Gượng đứng lên 
To coax, cajole 	Gạ 
To try to approach someone, try to make friends with 	Gạ chuyện 
To coax, cajole, wheedle into doing something; make approaches to a woman, make a pass at 	Gạ gẫm 
Antlers; crotch; to cross out 	Gạc 
Crotch of a tree 	Gạc cây 
Horn of a stag 	Gạc nai 
To cross out a name on a list 	Gạc tên trong danh sách 
Brick; to strike through, draw a line, scratch, cross out, strike through 	Gạch 
Flowered patterned brick, patterned tile 	Gạch bông 
To scratch, strike out 	Gạch bỏ 
To cross 	Gạch chéo 
Fire-brick, refractory brick 	Gạch chịu lửa 
To underline, underscore 	Gạch dưới 
Shade with parallel lines 	Gạch gạch 
Flowered enameled tile 	Gạch hoa 
Traditional terra-cotta floor tile 	Gạch lá nem 
Ceramic tile, enameled tile 	Gạch men 
Unbaked brick 	Gạch mộc 
Dash 	Gạch ngang 
Half baked brick 	Gạch non 
Hyphen 	Gạch nối 
Adobe 	Gạch sống 
Ceramic tile 	Gạch tráng men 
Wooden-hammer brick 	Gạch vồ 
To underline, underscore 	Gạch đít 
Em rule, dash 	Gạch đầu dòng 
Hollow brick 	Gạch ống 
To interrogate, inquire in detail, press with questions 	Gạn 
To decant 	Gạn cặn 
Interrogate, inquire in detail 	Gạn gùng 
To press with questions 	Gạn hỏi 
Sort out carefully 	Gạn lọc 
Raw uncooked rice 	Gạo 
Three-month rice 	Gạo ba giăng 
Fifth-month rice, summer rice 	Gạo chiêm 
Wander around homeless 	Gạo chợ nước sông 
Violet sticky rice 	Gạo cẩm 
Large-grain rice 	Gạo cội 
Grind excessively 	Gạo cụ 
Autumn rice 	Gạo dé 
A kind of fragrant rice 	Gạo dự 
Husked rice 	Gạo giã 
Unpolished rice 	Gạo lức 
Tenth-month rice, autumn rice 	Gạo mùa 
Uncooked sticky rice 	Gạo nép 
Provisions, victuals 	Gạo nước 
Glutinous rice, sticky rice 	Gạo nếp 
Lotus anther used to perfume tea 	Gạo sen 
High quality rice 	Gạo tám 
Fragrant rice small-grained and fragrant 	Gạo tám thơm 
Kind of rice small-grained and white 	Gạo tám xoan 
Ordinary rice as opposite to sticky rice 	Gạo tẻ 
Rice parboiling 	Gạo đồ 
1 to cheat, dupe, trick, deceive, beguile; 2 to reject, turn aside 	Gạt 
To scratch out, mark out, erase 	Gạt bỏ 
Swindle, cheat 	Gạt gẫm 
To dry one’s tears 	Gạt lệ 
To brush away one’s tears 	Gạt nước mắt 
To give security for a debt 	Gạt nợ 
Ashtray 	Gạt tàn 
Call forth someone’s ideas, confidences 	Gạy 
To give in marriage, marry one’s daughter 	Gả 
To marry off 	Gả bán 
Flip of, poke and turn upside down, play, pluck 	Gảy 
Peck at 	Gảy gót 
To twang 	Gảy đàn 
Space under a bed, car, bridge 	Gấc 
Brocade 	Gấm thêu 
Brocade and satin 	Gấm vóc 
1 to be X times more than; 2 to fold, close; 3 urgent, pressing, in a hurry 	Gấp 
Three times 	Gấp ba 
Three times as often, three times as much 	Gấp ba lần 
1 to multiply; 2 a lot, much 	Gấp bội 
Ten times more than 	Gấp chục lần 
Ten times bigger than 	Gấp chục lần lớn hơn 
Pressing, urgent 	Gấp gáp 
Twice as much as 	Gấp hai 
Broken, zigzag 	Gấp khúc 
To be many times more, greater 	Gấp nhiều lần 
Folding 	Gấp nếp 
More than twice as much 	Gấp quá hai lần 
Very pressing, very urgent 	Gấp rút 
To double; double, twice as much, twofold 	Gấp đôi 
Bear 	Gấu 
Malayan sun bear helarctos malayanus 	Gấu chó 
Hog bear 	Gấu lợn 
Panda 	Gấu mèo 
Tibetan bear 	Gấu ngựa 
Brown bear 	Gấu nâu 
Asian brown bear 	Gấu nâu châu á 
Panda 	Gấu trúc 
Eclipse of the moon 	Gấu ăn trăng 
Feel feverish 	Gấy sốt 
1 to roar, howl, yell; 2 to bow one’s head in shame or anger; 3 space underneath, underpass 	Gầm 
To square up to, have one’s hackles up 	Gầm ghè 
Green imperial pigeon 	Gầm ghì 
Howl, yell, roar 	Gầm hét 
To roar, yell, howl 	Gầm rú 
To bawl 	Gầm thét 
Near, close to place, time 	Gần 
Near the border with Laos 	Gần biên giới Lào 
Neighboring, adjacent 	Gần bên 
About to die, close to death 	Gần chết 
Almost an entire 	Gần cả 
Almost fifteen whole minutes 	Gần cả mười lăm phút 
Almost an entire month 	Gần cả tháng 
To closely resemble 	Gần giống 
Near, close by 	Gần gũi 
To be close to, near to 	Gần gũi với 
Almost double 	Gần gấp đôi 
Near, close by 	Gần gặn 
Keep in close touch with the masses 	Gần gụi 
Nearly two weeks 	Gần hai tuần lễ 
More recently 	Gần hơn nữa 
Almost all, almost completely 	Gần hết 
Close at hand 	Gần kề 
For almost 20 years 	Gần ngót 20 năm 
Almost, close to, nearly 	Gần ngót 
Nearby, close to one’s home 	Gần nhà 
Nearly, almost 	Gần như 
To have almost no something 	Gần như không có 
Almost completely 	Gần như trọn vẹn 
Almost everyone 	Gần như tất cả mọi người 
This close 	Gần như vậy 
Nearest, most recent 	Gần nhất 
Almost a year alread 	Gần năm rồi 
Almost morning 	Gần sáng 
Nearly six months 	Gần sáu tháng 
Close to noon 	Gần trưa 
To approach, draw near 	Gần tới 
Next, coming, soon 	Gần tới đây 
Far and near, everywhere 	Gần xa 
Last, previous, not far from here, recently 	Gần đây 
Most recently 	Gần đây nhất 
Near there 	Gần đó 
To have one foot in the grave, somebody’s 	Gần đất xa trời 
Dandruff, scurf 	Gầu 
Thin 	Gầy 
Slim 	Gầy còm 
To be nothing but flesh and bones 	Gầy giơ xương 
Raw-boned, bony 	Gầy guộc 
Thin 	Gầy gò 
Be wasting, lose flesh by degrees 	Gầy mòn 
Thin as lath 	Gầy nhom 
As thin as a lath or rake 	Gầy như cái que 
Sickly, lean, gaunt, emaciated 	Gầy yếu 
Scraggy 	Gầy đét 
To ponder 	Gẫm 
To break, be broken stick-like object 	Gẫy 
To break a rib 	Gẫy xương sườn 
1 of rodents to gnaw 	Gậm 
To fold, close a book 	Gập 
Rough, rocky, bumpy 	Gập ghềnh 
To close book 	Gập lại 
To bow, bend over 	Gập người xuống 
To close a book 	Gập sách lại 
To nod 	Gật 
To nod repeatedly 	Gật gù 
To nod one’s head repeatedly 	Gật gù cái đầu 
To nod, be drowsy 	Gật gưỡng 
To startle 	Gật nẩy mình 
To nod 	Gật đầu 
To nod in sympathy 	Gật đầu thông cảm 
Cane, stick, rod, staff 	Gậy 
Stick, club 	Gậy gộc 
Magic wand 	Gậy phép 
Quarterstaff 	Gậy tày 
Stick made of coral wood 	Gậy tầm vông 
Monk’s staff 	Gậy tầm xích 
Golf club 	Gậy đánh 
Golf club 	Gậy đánh golf 
Aim at, have designs on 	Gắm ghé 
To be fitted with, equipped with 	Gắn 
To be fond of, attached to 	Gắn bó 
To be fond of, attached to 	Gắn bó với 
To be joined, bound together 	Gắn bó với nhau 
To connect closely, go with, be related to, join 	Gắn liền 
To connect to, join with 	Gắn liền với 
Seal 	Gắn xi 
To try, strive, endeavor 	Gắng 
Do one’s llevel best 	Gắng công 
Make an unusual effort 	Gắng gượng 
To make every effort 	Gắng sức 
To pick up with chopsticks 	Gắp 
Draw lots, cast lots 	Gắp thăm 
Strong, violent, harsh, biting; to grumble, scold, chide 	Gắt 
Intense, desperate, keen; to intensify; severe, hard 	Gắt gao 
Ill-tempered, bad-tempered, in a bad or foul mood 	Gắt gỏng 
Burst noisily and loudly into angry words 	Gắt mù 
Hang the head out of shame, wear sullen looks 	Gằm 
To gnaw, nibble 	Gặm 
Corrode 	Gặm mòn 
Rodent 	Gặm nhấm 
To question closely 	Gặng 
To meet, see, encounter, find 	Gặp 
To run into a piece of bad luck 	Gặp chuyện bất hạnh 
To see sth, encounter sth 	Gặp chuyện gì 
To meet with the Pope himself 	Gặp chính Đức Giáo Hoàng 
To meet with opposition 	Gặp các chống đối 
To face a situation 	Gặp cảnh 
Meet with a favorable opportunity 	Gặp dịp 
Meeting a woman as one goes out of the house 	Gặp gái 
To meet with, encounter 	Gặp gỡ 
To meet with difficulties, have problems 	Gặp khó khăn 
See you later 	Gặp lại sau 
To be lucky, in luck’s way 	Gặp may 
To encounter frequently 	Gặp mãi 
To meet, see 	Gặp mặt 
To be in danger, meet with danger, harm 	Gặp nguy hại 
To meet each other, see each other 	Gặp nhau 
To meet with, encounter many difficulties 	Gặp nhiều khó khăn 
To meet with disaster, have an accident 	Gặp nạn 
To meet, encounter 	Gặp phải 
To meet separately 	Gặp riêng 
To meet with complications 	Gặp rắc rối 
To meet with resistance 	Gặp sự chống cự 
To meet with opposition 	Gặp sự chống đối 
To meet with failure 	Gặp thất bại 
To meet, see 	Gặp thấy 
To meet with good fortune 	Gặp thời 
To run into a lot of things 	Gặp toàn những chuyện 
If this happens, in this case 	Gặp trường hợp như vậy 
To meet with obstacles 	Gặp trở ngại 
To meet obstacles in Congress 	Gặp trở ngại tại quốc hội 
To meet with difficulties 	Gặp trục trặc 
To be deadlocked 	Gặp vế tắc 
Harvest, reap 	Gặt 
To harvest, reap 	Gặt hái 
Polyp in the nose 	Gỉ mũi 
Verdigris, patina 	Gỉ đồng 
To call, summon, order 	Gọi 
To order a beer 	Gọi bia 
To call the waiter, waitress 	Gọi bồi 
To call the police 	Gọi cho cảnh sát 
To call the police 	Gọi cảnh sát 
To knock at the door 	Gọi cửa 
Polite, well-mannered 	Gọi dạ bảo vâng 
To call an urgent meeting 	Gọi họp khẩn cấp 
Conjure up a deal person’s soul 	Gọi hồn 
To be named, called 	Gọi là 
Mobilize, call up, draft 	Gọi lính 
To call back 	Gọi lại 
To call to each other 	Gọi nhau 
To order alcoholic drinks 	Gọi rượu 
To call, name incorrectly 	Gọi sai 
Incorrectly called 	Gọi sai là 
Call by value 	Gọi theo giá trị 
Call by reference 	Gọi theo tham khảo 
Call by name 	Gọi theo tên 
To call for contracts, bids 	Gọi thầu 
To be called, named 	Gọi tên là 
Call me name 	Gọi tôi là 
Which is called, whose abbreviation is 	Gọi tắt là 
To call up capital, appeal for funds 	Gọi vốn 
To call up, invoke an idea, notion 	Gọi ý 
To call up, telephone to 	Gọi điện thoại 
To be neat, tidy, orderly, systematic, concise 	Gọn 
Neat, slender, compact 	Gọn gàng 
Compact, neat, orderly 	Gọn nhẹ 
Frame, framework 	Gọng 
Prongs 	Gọng kìm 
The frame of a fishing net 	Gọng vó 
Shaft of a carriage 	Gọng xe 
Umbrella frame 	Gọng ô 
To pare, whittle, sharpen pencil, peel fruit, etc. 	Gọt 
Vietnamese salad with fresh vegetables 	Gỏi 
1 foot of a tree; 2 of ~ origin 	Gốc 
Of Afrian origin, descent 	Gốc Phi châu 
Of Vietnamese origin, ancestry 	Gốc Việt 
Trunk, foot of a tree 	Gốc cây 
Stock 	Gốc ghép 
Native country 	Gốc phần 
Origin 	Gốc tích 
Root of a word 	Gốc từ 
Native country, parents 	Gốc tử 
Of east Asian origin, descent 	Gốc Á Đông 
Of European origin, descent 	Gốc Âu châu 
1 pillow, cushion; 2 knee 	Gối 
Lone pillow, lead a lonely life, state of being 	Gối chiếc 
A long pillow 	Gối dài 
Bolster, cushion 	Gối dựa 
Wedded pair’s pillows, bridal pillows 	Gối loan 
Grow an overlapping crop 	Gối vụ 
Folding pillow 	Gối xếp 
Solt pillow 	Gối êm 
Beautiful dream 	Gối điệp 
Sleep in the open 	Gối đất nằm sương 
Pillow for a bed 	Gối đầu giường 
Pottery, earthenware 	Gốm 
Blue flower pottery 	Gốm hoa lam 
Prominent, protu berant 	Gồ 
To comprise, consist of, include 	Gồm 
Comprising, including; to consist of, include 	Gồm có 
To have two parts, two elements 	Gồm hai thành phần 
To carry with a shoulder pole 	Gồng 
Carry on one’s shoulder with a pole and two hangers 	Gồng gánh 
Wood, lumber, timber 	Gỗ 
Slab of timber 	Gỗ bìa 
Rough timber 	Gỗ cây 
Sap-wood, alburnum 	Gỗ dác 
Rose-wood 	Gỗ hồng sắc 
Iron wood 	Gỗ lim 
Timber 	Gỗ súc 
Wood of low quality 	Gỗ tạp 
Ironwood 	Gỗ tứ thiết 
Plank 	Gỗ ván 
Sawn timber 	Gỗ xẻ 
To wash hair 	Gội 
To add 	Gộp vào 
To wipe out 	Gột rửa 
To wash 	Gột sạch 
Awful, disgusting, terrible, horrifying 	Gớm 
How awful! how dreadful! 	Gớm chửa 
Disgusted, terrified 	Gớm ghiếc 
Frightful, horrible, disgusting 	Gớm ghê 
Disgusted, terrified 	Gớm giếc 
Edge, ridge 	Gờ 
To be afraid of, scared of 	Gờm 
Hate, dislike 	Gờm mặt 
Ominous, inauspicious 	Gở 
To send 	Gởi 
To send word of greeting 	Gởi lờ chào 
To send out 	Gởi ra 
To send a card 	Gởi thiệp 
To send a letter 	Gởi thơ 
To send a letter 	Gởi thư 
To send out 	Gởi đến 
To unravel, untangle, disentangle; to win back 	Gỡ 
Debug 	Gỡ lỗi 
Clear a place of mines 	Gỡ mìn 
To remove, disconnect, take out 	Gỡ mất 
Get clear of one’s debts 	Gỡ nợ 
To disentangle, disembroil 	Gỡ rối 
Exculpate 	Gỡ tội 
Comb one’s hair straight, brush one’s hair free of tangles 	Gỡ đầu 
To arouse, waken, stir, evoke, conjure up, revive, rouse, excite 	Gợi 
To start a conversation 	Gợi chuyện 
Suggestive 	Gợi cảm 
To evoke, conjure up an image 	Gợi hình 
To evoke, reminisce 	Gợi lại 
Suggest 	Gợi mở 
Inviting, provocative, juicy, sexually attractive 	Gợi tình 
To suggest 	Gợi ý 
Rippled, wavy 	Gợn 
To skim, scum 	Gợt 
Sindora tree, sindora wood-of a brownish-back color 	Gụ 
To bend down 	Gục 
To nod one's assent 	Gục gặc 
To nod one’s head in agreement 	Gục gặc cái đầu 
Of dog to snarl 	Gừ 
Ginger 	Gừng 
To send, give, entrust, leave in someone’s care 	Gửi 
To entrust, recommend 	Gửi gắm 
Send a message 	Gửi lời 
To send greetings to 	Gửi lời thăm 
To send and receive 	Gửi nhận 
To send reinforcements 	Gửi quân tăng cường 
To send 	Gửi ra 
To send abroad 	Gửi ra nước ngoài 
To live at one’s in laws’ 	Gửi rể 
To send a greeting card 	Gửi thiếp mừng 
To send a report 	Gửi tin 
To deposit money of a bank 	Gửi tiền ở nhà băng 
To send back, return 	Gửi trả 
To send to 	Gửi tới 
To send to 	Gữi đến 
Exclamation of joy 	Ha 
Aha, hee-haw 	Ha ha 
To laugh heartedly 	Ha hả 
Two; both 	Hai 
Two or three 	Hai ba 
The Trung sisters 	Hai bà Trưng 
Both hands 	Hai bàn tay 
Two wheeled 	Hai bánh 
Bilateral; both sides; both sides 	Hai bên 
Both sides 	Hai bên hông 
The two roadsides 	Hai bên đường 
Two-way, bidirectional 	Hai chiều 
Both legs, both feet 	Hai chân 
The two boys winked at each other 	Hai chú bé nhấm nháy với nhau 
Colon 	Hai chấm 
The two sisters are rather like each other 	Hai chị em na ná nhau 
Two dozen, twenty 	Hai chục 
Both eyes 	Hai con mắt 
These two things 	Hai cái này 
Two-legged, bipedal 	Hai cân 
Both powers must resolve their differences 	Hai cường quốc phải giải quyết các biệt của họ 
It’s five to two o’clock 	Hai giờ kém năm 
It’s 2:30, it’s half past two 	Hai giờ rưỡi 
Five of two 	Hai giờ thiếu năm 
Two days 	Hai hôm 
Twice, two times 	Hai lần 
Both ears 	Hai lỗ tai 
Bilabial 	Hai môi 
Twenty, a score 	Hai mươi 
Twenty-something 	Hai mươi mấy 
Twenty one 	Hai mươi mốt 
Two-piece 	Hai mảnh 
Biconvex 	Hai mặ lồi 
Double-faced; duplicity 	Hai mặt 
2002 	Hai ngàn lẽ hai 
Two days 	Hai ngày 
Two days in a row 	Hai ngày liên tiếp 
Two days later 	Hai ngày sau đó 
Two people, both people 	Hai người 
The two of us 	Hai người chúng tôi 
Two years in a row 	Hai năm kế tiếp 
It’s as clear as daylight 	Hai năm rõ mười 
Both countries 	Hai nước 
Both sides, camps, parties 	Hai phe 
Both delegations 	Hai phái đoàn 
Two shots in a row 	Hai phát luôn 
Two pieces, two parts 	Hai phần 
Two thirds 	Hai phần ba 
Both countries, nations 	Hai quốc qia 
Dental, interdental 	Hai răng 
Two hands, both hands 	Hai tay 
To die 	Hai tay buông xuôi 
Two hours later 	Hai tiếng sau 
Two hundred 	Hai trăm 
Two main powers 	Hai trục chính 
Two weeks 	Hai tuần lễ 
Two-story 	Hai tầng 
The married couple 	Hai vợ chồng 
Two to three 	Hai đến ba 
Two people 	Hai đứa 
Those two guys 	Hai đứa chúng nó 
The two of us 	Hai đứa chúng tôi 
The two of us, us two 	Hai đứa mình 
Those two guys, those two people 	Hai đứa nó 
Eager, greedy, zealous; love, fondness, liking, interest; to like, be fond of 	Ham 
To esteem 	Ham chuộng 
To like, enjoy studying; love of learning 	Ham học 
To desire, covet 	Ham muốn 
To have a passion for 	Ham mê 
Power-hungry, megalomaniac 	Ham quyền lợi 
To cling to life and fear death 	Ham sống sợ chết 
To desire, love, like 	Ham thích 
Eager to learn, eager to find out 	Ham tìm hiểu 
To have fun, indulge oneself 	Ham vui 
Verdigris 	Han 
Den, cave, cavern, hole 	Hang 
Dangerous out-of-the-way place 	Hang beo 
Mousehole 	Hang chuột 
Far-away places, alleys and side 	Hang cùng ngõ hẻm 
Cave 	Hang hầm 
Grotto, cave 	Hang động 
Lair of animals, den of thieves 	Hang ổ 
Hot and dry weather 	Hanh 
Easy, flowing 	Hanh thông 
1 to consume, use, spend, waste; 2 news 	Hao 
To lose soldiers and officers 	Hao binh tổn tướng 
Look slightly like, distant likeness 	Hao hao 
To be a little like, to ressemble 	Hao hao giống 
To lessen, diminish 	Hao hụt 
To weaken 	Hao mòn 
To waste; to spend 	Hao phí 
To waste time 	Hao phí thì giờ 
Make money dwindle, be costly 	Hao tài 
To waste, squander 	Hao tổn 
1 interesting, well; or; 2 have the habit of doing; often, frequently 	Hay 
Know 	Hay biết 
How very nice! 	Hay biết nhường nào! 
Sciolistic 	Hay chữ lỏng 
Or something like that 	Hay gì đó 
Interesting 	Hay ho 
Nice 	Hay hớm 
Question tag; or not 	Hay không 
Or 	Hay là 
Contagious 	Hay lây 
Very good 	Hay lắm 
Very interesting 	Hay quá 
Forgetful 	Hay quên 
Very interesting 	Hay thật 
Fish of carp family 	He 
Asthma 	Hen 
Asthma 	Hen suyễn 
Pig, hog, swine, pork 	Heo 
Remote, solitary, out-of-the-way 	Heo hút 
Boar, a male pig 	Heo hạch 
Ay coldish north-westerly wind blowing in autumn 	Heo may 
Sow 	Heo nái 
Roast pork 	Heo quay 
Pair of breasts 	Hi cặp vú 
Titter, giggle, chuckle, snigger 	Hi hí 
Rare, occasional 	Hi hữu 
To sacrifice oneself 	Hi sinh 
Mandarin’s boots 	Hia 
Compass, guide 	Him chỉ nam 
Of nose narrow 	Hin 
Blow gently 	Hiu hắt 
Deserted, lonely 	Hiu quạnh 
Proud, haughty 	Hiên ngang 
Rare, scarce 	Hiếm 
Rare, scarce 	Hiếm có 
Rare, scarce 	Hiếm hoi 
Having few children 	Hiếm muộn 
1 to offer, devote, consecrate; 2 constitution 	Hiến 
Gendarme in a capitalist country 	Hiến binh 
Constitution 	Hiến chương 
Dedicate 	Hiến dâng 
Offer suggestions 	Hiến kế 
Constitution 	Hiến pháp 
The U.S. constitution 	Hiến pháp của Hoa Kỳ 
Constitutionalize 	Hiến pháp hóa 
Stipulated by the constitution 	Hiến định 
Cross-eyed, squint-eyed 	Hiếng 
To rape, violate, oppress 	Hiếp 
To rape, violate 	Hiếp dâm 
Force, compel, bully 	Hiếp tróc 
Peace-loving 	Hiết hòa 
1 to like, love, be fond of; 2 pious, faithful; filial piety; 3 mourning, funeral 	Hiếu 
To like to argue, argumentative 	Hiếu biện 
Combative, bellicose, warlike 	Hiếu chiến 
Person in charge of a funeral of relative 	Hiếu chủ 
Fame-seeking person; to thirst after honors 	Hiếu danh 
To be lustful 	Hiếu dâm 
To nurse one’s parents 	Hiếu dưỡng 
Filial piety 	Hiếu dạo 
To be curious 	Hiếu dị 
To be social, have many connections 	Hiếu giao 
Peace-loving 	Hiếu hòa 
Filial piety 	Hiếu hạnh 
Fond of kindness 	Hiếu hảo 
Funerals and weddings, mourning and joy 	Hiếu hỉ 
To be studious, love studying 	Hiếu học 
Piety and friendliness 	Hiếu hữu 
Family business specifically funeral of one’s parents and 	Hiếu hỷ 
Hospitable 	Hiếu khách 
Aerobic 	Hiếu khí 
To honor and respect one’s parents 	Hiếu kính 
Curious, inquiring 	Hiếu kỳ 
Honorary title given to a licentiate 	Hiếu liêm 
To be fond of amusement, like to have fun 	Hiếu lộng 
Greedy, avaricious 	Hiếu lợi 
Dutiful and loyal; filial piety 	Hiếu nghĩa 
Pious girl, nice girl 	Hiếu nữ 
Mourning clothes 	Hiếu phục 
Kind to animals, reluctant to kill animals; to love life, fear death 	Hiếu sinh 
Fond of beautiful women, lustful, lewd 	Hiếu sắc 
Fond of contriving unnecessary things, showing undue zeal; mourning rites, funeral protocol 	Hiếu sự 
To have a passion for 	Hiếu thượng 
Pious 	Hiếu thảo 
Aggressive, ambitious 	Hiếu thắng 
To exhort 	Hiếu thị 
Piety and loyalty 	Hiếu trung 
Filial piety 	Hiếu tâm 
Filial piety and conjugal love 	Hiếu tình 
Peace-loving 	Hiếu tĩnh 
Filial piety and love for one’s parents 	Hiếu từ 
Dutiful child 	Hiếu tử 
To like alcohol, drinking 	Hiếu tửu 
Filial piety 	Hiếu đạo 
Dutiful to one’s parents and submissive to one’s elder brother 	Hiếu đễ 
Lively, active, dynamic, restless 	Hiếu động 
To hate, dislike 	Hiềm 
To hate, detest 	Hiềm khích 
Hatred, aversion 	Hiềm kỵ 
To suspect 	Hiềm nghi 
To avenge; vengeance; to bear a grudge 	Hiềm oán 
To avenge; vengeance 	Hiềm thù 
To hate; hatred 	Hiềm tị 
Unfortunately, the problem is 	Hiềm vì 
Meek, gentle, virtuous 	Hiền 
Wise person, sage 	Hiền giả 
Dear brother 	Hiền huynh 
Meek, timid, gentle, soft-natured 	Hiền hòa 
Dear friend 	Hiền hữu 
Very good and gentle, very kind 	Hiền khô 
Good natured, kind, mild, gentle, meek 	Hiền lành 
Good, nice, decent 	Hiền lương 
Wise and clear-sighted 	Hiền minh 
Dear sister, one’s younger sister 	Hiền muội 
Kind mother, good mother 	Hiền mẫu 
Sage, wise person, virtuous person 	Hiền nhân 
An upright gentleman, a true gentleman 	Hiền nhân quân tử 
Virtue and talent 	Hiền năng 
Good wife 	Hiền nội trợ 
Talented and virtuous man 	Hiền sĩ 
One’s virtuous wife 	Hiền thê 
Successful applicant in examinations 	Hiền thư 
Loyal, faithful subject 	Hiền thần 
Philosopher, sage 	Hiền triết 
Talented and righteous 	Hiền tài 
One’s son in law 	Hiền tế 
Indulgent 	Hiền từ 
Dear brother 	Hiền đệ 
Virtuous, good 	Hiền đức 
Dangerous 	Hiểm 
Rugged and inaccessible terrain 	Hiểm hóc 
Danger, peril 	Hiểm họa 
Dangerous, serious 	Hiểm nghèo 
Danger 	Hiểm nguy 
Shrewd and obnoxious 	Hiểm sâu 
Full of obstacles and difficult of access 	Hiểm trở 
Dangerous symptom, danger, peril 	Hiểm tượng 
Important and very difficult of access 	Hiểm yếu 
Wicked 	Hiểm ác 
Place full of obstacles and difficult of access 	Hiểm địa 
Wicked 	Hiểm độc 
To appear clearly 	Hiển hiện 
Glorious 	Hiển hách 
Awe-inspiringly powerful 	Hiển linh 
Clear-cut, unequivocal, unmistakable 	Hiển minh 
Evident, obvious, clear 	Hiển nhiên 
It is evident, obvious that 	Hiển nhiên là 
Become a genie, achieve sainthood 	Hiển thánh 
To display 	Hiển thị 
Make one’s way in life, achieve a high position in society 	Hiển đạt 
To understand 	Hiểu 
To know; understanding, knowledge 	Hiểu biết 
A knowledge of English 	Hiểu biết về Ang ngữ 
To understand life, be worldly-wise 	Hiểu chuyện đời 
Make clear something to, the 	Hiểu dụ 
To misunderstand 	Hiểu lầm 
Implicit, tacit, read between the lines 	Hiểu ngầm 
To mistake someone’s meaning 	Hiểu nhầm ý ai 
To understand, realize 	Hiểu ra 
To understand clearly 	Hiểu rõ 
To understand more clearly 	Hiểu rõ thêm 
