The	Các
Wave	Làn sóng
Move	Di chuyển
Afraid	Sợ
Quarter	Phần tư
Background	Lý lịch
Native	Tự nhiên
Broad	Rộng lớn
Wonderful	Tuyệt vời
Deny	Phủ nhận
Apparently	Dường như
Slightly	Khinh bỉ
Reaction	Phản ứng
Twice	Hai lần
Suit	Bộ đồ
Perspective	Quan điểm
Growing	Phát triển
Blow	Thổi
Construction	Xây dựng
Kind	Loại
Intelligence	Sự thông minh
Destroy	Hủy hoại
Cook	Nấu ăn
Connection	Kết nối
Charge	Sạc điện
Burn	đốt cháy
Shoe	Giày
View	Lượt xem
Grade	Cấp
Context	Bối cảnh
Committee	ủy ban
Hey	Chào
Mistake	Sai lầm
Focus	Tiêu điểm
Smile	Nụ cười
Location	Vị trí
Clothes	Quần áo
Indian	Người Ấn Độ
Quiet	Yên tĩnh
Dress	Trang phục
Promise	Lời hứa
Aware	ý thức
Neighbor	Hàng xóm
Complete	Hoàn thành
Drive	Lái xe
Function	Chức năng
Bone	Khúc xương
Active	đang hoạt động
Extend	Mở rộng
Chief	Giám đốc
Average	Trung bình cộng
Combine	Phối hợp
Wine	Rượu nho
Below	Phía dưới
Cool	Mát mẻ
Voter	Cử tri
Means (PL)	Nghĩa là (PL)
Demand	Nhu cầu
Learning	Học tập
Bus	Xe buýt
Hell	Địa ngục
Dangerous	Nguy hiểm
Remind	Nhắc lại
Moral	đạo đức
United	United
Category	Thể loại
Relatively	Tương đối
Victory	Chiến thắng
Key	Chìa khóa
Academic	Học tập
Visit	Chuyến thăm
Internet	Internet
Healthy	Khỏe mạnh
Fire	Ngọn lửa
Negative	Tiêu cực
Following	Tiếp theo
Historical	Lịch sử
Medicine	Dược phẩm
Tour	Chuyến du lịch
Depend	Tùy theo
Photo	Hình chụp
Finding	Phát hiện
Grab	Vồ lấy
Direct	Thẳng thắn
Classroom	Phòng học
Contact	Tiếp xúc
Justice	Sự công bằng
Participate	Tham dự
Daily	Hằng ngày
Fair	Hội chợ
Pair	đôi
Famous	Nổi danh
Exercise	Tập thể dục
Knee	đầu gối
Flower	Hoa
Tape	Băng
Hire	Thuê mướn
Familiar	Quen
Appropriate	Thích hợp
Supply	Cung cấp
Fully	đầy đủ
Cut	Cắt tỉa
Will	Sẽ
Actor	Diễn viên
Birth	Sinh
Search	Tìm kiếm
Tie	Cà vạt
Democracy	Dân chủ
Eastern	Phương Đông
Primary	Sơ cấp
Yesterday	Hôm qua
Circle	Vòng tròn
Device	Thiết bị
Progress	Tiến độ
Next	Kế tiếp
Front	Trước mặt
Bottom	đáy
Island	Đảo
Exchange	Trao đổi, giao dịch
Clean	Dọn dẹp
Studio	Studio
Train	Xe lửa
Lady	Quý bà
Colleague	đồng nghiệp
Application	ứng dụng
Neck	Cái cổ
Lean	Nạc
Damage	Hư hại
Plastic	Nhựa
Tall	Cao
Plate	đĩa
Hate	Ghét bỏ
Otherwise	Nếu không thì
Writing	Viết
Press	Nhấn
Male	Nam giới
Start	Khởi đầu
Alive	Sống sót
Expression	Biểu hiện
Football	Bóng đá
Intend	Dự định
Attack	Tấn công
Chicken	Gà
Army	Quân đội
Abuse	Lạm dụng
Theater	Rạp hát
Shut	đóng lại
Map	Bản đồ
Extra	Thêm
Session	Phiên họp
Danger	Nguy hiểm
Welcome	Chào mừng
Domestic	Trong nước
Lots	Rất nhiều
Literature	Văn chương
Rain	Mưa
Desire	Khao khát
Assessment	Thẩm định, lượng định, đánh giá
Injury	Chấn thương
Respect	Sự tôn trọng
Northern	Phương bắc
Nod	Gật đầu
Paint	Sơn
Fuel	Nhiên liệu
Leaf	Lá
Direct	Thẳng thắn
Dry	Khô
Russian	Người Nga
Instruction	Chỉ dẫn
Fight	Chiến đấu
Pool	Bơi
Climb	Leo
Sweet	Ngọt
Lead	Chì
Engine	động cơ
Fourth	Thứ tư
Salt	Muối
Expand	Mở rộng
Importance	Tầm quan trọng
Metal	Kim loại
Fat	Mập
Ticket	Vé
Software	Phần mềm
Disappear	Biến mất
Corporate	Công ty
Strange	Kỳ lạ
Lip	Môi
Reading	đọc hiểu
Urban	đô thị
Mental	Tâm thần
Increasingly	Ngày càng
Lunch	Bữa trưa
Educational	Giáo dục
Somewhere	Một vài nơi
Farmer	Nông phu
Above	ở trên
Sugar	đường
Planet	Hành tinh
Favorite	Yêu thích
Explore	Khám phá
Obtain	đạt được
Enemy	Kẻ thù
Greatest	Vĩ đại nhất
Complex	Phức tạp
Surround	Vây quanh
Athlete	Lực sĩ
Invite	Mời gọi
Repeat	Nói lại
Carefully	Cẩn thận
Soul	Linh hồn
Scientific	Thuộc về khoa học
Impossible	Không thể nào
Panel	Bảng điều khiển
Meaning	Ý nghĩa
Mom	Mẹ
Married	Cưới nhau
Alone	Một mình
Instrument	Dụng cụ
Predict	Tiên đoán
Weather	Thời tiết
Presidential	Tổng thống
Emotional	đa cảm
Commitment	Cam kết
Supreme	Tối cao
Bear	Chịu
Pocket	Bỏ túi
Thin	Gầy
Temperature	Nhiệt độ
Surprise	Sự ngạc nhiên
Poll	Thăm dò ý kiến
Proposal	đề nghị
Consequence	Hậu quả
Half	Một nửa
Breath	Hơi thở
Sight	Thị giác
Cover	Che
Balance	Cân đối
Adopt	Thông qua
Minority	Thiểu số
Straight	Thẳng
Attempt	Cố gắng
Connect	Kết nối
Works	Công trinh
Teaching	Giảng bài
Belong	Thuộc về
Aid	Viện trợ
Advice	Khuyên bảo
Okay	đuợc
Photograph	ảnh chụp
Empty	Trống
Regional	Khu vực
Trail	đường mòn
Novel	Cuốn tiểu thuyết
Code	Mã
Somehow	Bằng cách nào đó
Organize	Tổ chức
Jury	Ban bồi thẩm
Breast	Nhũ hoa
Iraqi	Iraqi
Human	Nhân loại
Acknowledge	Công nhận
Theme	Chủ đề
Storm	Bão táp
Union	Liên hiệp
Record	Ghi lại
Desk	Bàn
Fear	Nỗi sợ
Thanks	Cảm ơn
Fruit	Trái cây
Under	Dưới
Expensive	đắt
Yellow	Màu vàng
Conclusion	Phần kết luận
Prime	Nguyên tố
Shadow	Bóng
Struggle	đấu tranh
Conclude	Kết luận
Analyst	Nhà phân tích
Dance	Nhảy
Limit	Giới hạn
Like	Như
Regulation	Quy định
Being	đang
Last	Cuối cùng
Ring	Nhẫn
Largely	Phần lớn
Shift	Sự thay đổi
Revenue	Thu nhập
Mark	Dấu
Locate	định vị
County	Quận
Appearance	Xuất hiện
Package	Gói
Difficulty	Khó khăn
Bridge	Cầu
Recommend	Giới thiệu
Obvious	Hiển nhiên
Train	Xe lửa
Basically	Về cơ bản
E-mail	E-mail
Generate	Tạo ra
Anymore	Nữa không
Propose	Cầu hôn
Thinking	Suy nghĩ
Possibly	Có thể
Trend	Khuynh hướng
Visitor	Khách thăm quan
Loan	Tiền vay
Currently	Hiện tại
Comfortable	Thoải mái
Investor	Nhà đầu tư
But	Nhưng
Profit	Lợi nhuận
Angry	Bực bội
Crew	Phi hành đoàn
Deep	Sâu
Accident	Tai nạn
Male	Nam giới
Meal	Bữa ăn
Hearing	Thính giác
Traffic	Giao thông
Muscle	Cơ bắp
Notion	Khái niệm
Capture	Nắm bắt
Prefer	Thích hơn
Truly	Thực sự
Earth	Trái đất
Japanese	Tiếng Nhật
Chest	Ngực
Search	Tìm kiếm
Thick	Dày
Cash	Tiền mặt
Museum	Viện bảo tàng
Beauty	Sắc đẹp, vẻ đẹp
Emergency	Trường hợp khẩn cấp
Unique	độc nhất
Feature	đặc tính
Internal	Bên trong
Ethnic	Dân tộc
Link	Liên kết
Stress	Nhấn mạnh
Content	Nội dung
Select	Lựa chọn
Root	Nguồn gốc
Nose	Mũi
Declare	Khai
Outside	ở ngoài
Appreciate	đánh giá
Actual	Thực tế
Bottle	Chai
Hardly	Khó khăn
Setting	Cài đặt
Launch	Phóng
Dress	Trang phục
File	Tập tin
Sick	đau ốm
Outcome	Kết quả
Ad	Quảng cáo
Defend	Phòng thủ
Matter	Vấn đề
Judge	Thẩm phán
Duty	Nhiệm vụ
Sheet	Tấm
Ought	Nên
Ensure	đảm bảo
Catholic	Công giáo
Extremely	Vô cùng
Extent	Phạm vi
Component	Thành phần
Mix	Pha trộn
Long-term	Dài hạn
Slow	Chậm
Contrast	Tương phản
Zone	Vùng
Wake	đánh thức
Challenge	Thử thách
Airport	Sân bay
Chief	Giám đốc
Brown	Nâu
Standard	Tiêu chuẩn
Shirt	áo sơ mi
Pilot	Phi công
Warn	Cảnh báo
Ultimately	Cuối cùng
Cat	Con mèo
Contribution	Sự đóng góp
Capacity	Sức chứa
Ourselves	Chúng ta
Estate	Bất động sản
Guide	Hướng dẫn
Circumstance	Tình huống
Snow	Tuyết
English	Anh
Politician	Chính trị gia
Steal	Lấy trộm
Pursue	Theo đuổi
Slip	Trượt
Percentage	Phần trăm
Meat	Thịt
Funny	Buồn cười
Neither	Cũng không
Soil	đất
Influence	ảnh hưởng
Surgery	Phẫu thuật
Correct	Chính xác
Jewish	Người Do thái
Blame	Khiển trách
Estimate	ước tính
Due	đến hạn
Basketball	Bóng rổ
Late	Muộn
Golf	Golf
Investigate	điều tra
Crazy	Khùng
Significantly	đáng kể
Chain	Chuỗi
Address	địa chỉ nhà
Branch	Chi nhánh
Combination	Sự phối hợp
Just	Chỉ
Frequently	Thường xuyên
Governor	Thống đốc
Relief	Cứu trợ
User	Người dùng
Dad	Cha
Kick	đá
Part	Phần
Manner	Cách thức
Ancient	Xưa
Silence	Khoảng lặng
Rating	Xêp hạng
Golden	Vàng
Motion	Chuyển động
German	Tiếng Đức
Gender	Giới tính
Solve	Giải quyết
Fee	Chi phí
Landscape	Phong cảnh
Used	đã sử dụng
Bowl	Bát
Equal	Công bằng
Long	Dài
Official	Chính thức
Forth	Ra
Frame	Khung
Typical	điển hình
Except	Ngoại trừ
Conservative	Thận trọng
Eliminate	Loại bỏ
Host	Chủ nhà
Hall	đại sảnh
Trust	Lòng tin
Ocean	đại dương
Score	Ghi bàn
Row	Hàng
Producer	Nhà sản xuất
Afford	đủ khả năng
Meanwhile	Trong khi đó
Regime	Chế độ
Division	Phân chia
Confirm	Xác nhận
Fix	Sửa chữa
Appeal	Kháng cáo
Mirror	Gương
Tooth	Răng
Smart	Thông minh
Length	Chiều dài
Entirely	Hoàn toàn
Rely	Dựa
Topic	đề tài
Complain	Than phiền
Issue	Vấn đề
Variable	Biến
Back	Trở lại
Range	Phạm vi
Telephone	Điện thoại
Perception	Nhận thức
Attract	Thu hút
Confidence	Sự tự tin
Bedroom	Phòng ngủ
Secret	Bí mật
Debt	Món nợ
Rare	Hiếm
His	Của anh ấy
Tank	Xe tăng
Nurse	Y tá
Coverage	Phủ sóng
Opposition	Sự đối lập
Aside	Qua một bên
Anywhere	ở đâu
Bond	Liên kết
File	Tập tin
Pleasure	Vui lòng
Master	Bậc thầy
Era	Kỷ nguyên
Requirement	Yêu cầu
Check	Kiểm tra
Stand	đứng
Fun	Vui vẻ
Expectation	Sự mong đợi
Wing	Canh
Separate	Tách rời
Now	Hiện nay
Clear	Trong sáng
Struggle	đấu tranh
Mean	Nghĩa là
Somewhat	Phần nào
Pour	đổ
Stir	Khuấy
Judgment	Phán đoán
Clean	Dọn dẹp
Except	Ngoại trừ
Beer	Bia
English	Anh
Reference	Tài liệu tham khảo
Tear	Nước mắt
Doubt	Nghi ngờ
Grant	Ban cho
Seriously	Nghiêm túc
Account	Tài khoản
Minister	Bộ trưởng, mục sư
Totally	Hoàn toàn
Hero	Anh hùng
Industrial	Công nghiệp
Cloud	đám mây
Stretch	Căng ra
Winner	Người chiến thắng
Volume	âm lượng
Travel	Du lịch
Seed	Giống
Surprised	Ngạc nhiên
Rest	Nghỉ ngơi
Fashion	Thời trang
Pepper	Tiêu
Separate	Tách rời
Busy	Bận
Intervention	Can thiệp
Copy	Sao chép
Tip	Tiền boa
Below	Phía dưới
Cheap	Giá rẻ
Aim	Mục đích
Cite	Trích dẫn
Welfare	Phúc lợi
Vegetable	Rau
Gray	Màu xám
Dish	Món ăn
Beach	Bờ biển
Improvement	Cải tiến
Everywhere	Mọi nơi
Opening	Khai mạc
Overall	Tổng thể
Divide	Chia
Initial	Ban đầu
Terrible	Khủng khiếp
Oppose	Phản đối
Contemporary	đồng thời
Route	Lộ trình
Multiple	Nhiều
Essential	Cần thiết
Question	Câu hỏi
League	Liên đoàn
Criminal	Phạm tội
Careful	Cẩn thận
Core	Cốt lõi
Upper	Phía trên
Rush	Vội vã
Necessarily	Nhất thiết
Specifically	đặc biệt
Tired	Mệt mỏi
Rise	Tăng lên
Tie	Cà vạt
Employ	Thuê
Holiday	Ngày lễ
Dance	Nhảy
Vast	Rộng lớn
Resolution	độ phân giải
Household	Hộ gia đình
Fewer	ít hơn
Abortion	Sự phá thai
Apart	Xa nhau
Witness	Nhân chứng
Match	Trận đấu
Barely	Vừa đủ
Sector	Ngành
Representative	Tiêu biểu
Lack	Thiếu sót
Beneath	ở trên
Beside	Bên cạnh
Black	đen
Incident	Biến cố
Limited	Giới hạn
Proud	Tự hào
Flow	Lưu lượng
Faculty	Giảng viên
Increased	Tăng
Waste	Chất thải
Merely	đơn thuần
Mass	Khối lượng
Emphasize	Nhấn mạnh
Experiment	Thí nghiệm
Definitely	Chắc chắn
Bomb	Bom
Enormous	To lớn
Tone	Tấn
Liberal	Tự do
Massive	To lớn
Engineer	Kỹ sư
Wheel	Bánh xe
Female	Giống cái
Decline	Từ chối
Invest	đầu tư
Promise	Lời hứa
Cable	Cáp
Towards	Về hướng
Expose	Lộ ra
Rural	Nông thôn
AIDS	AIDS
Jew	Người Do Thái
Narrow	Hẹp
Cream	Kem
Secretary	Thư ký
Gate	Cánh cổng
Solid	Chất rắn
Hill	đồi núi
Typically	Thường
Noise	Tiếng ồn
Grass	Cỏ
Unfortunately	Không may
Hat	Nón
Legislation	Pháp luật
Succeed	Thành công
Either	Hoặc
Celebrate	ăn mừng
Achievement	Thành tích
Fishing	đánh bắt cá
Drink	Uống
Accuse	Tố cáo
Hand	Tay
Useful	Hữu ích
Land	đất đai
Secret	Bí mật
Reject	Từ chối
Talent	Năng lực
Taste	Nếm thử
Characteristic	đặc trưng
Milk	Sữa
Escape	Thoát khỏi
Cast	Dàn diễn viên
Sentence	Kết án
Unusual	Bất thường
Closely	Chặt chẽ
Convince	Thuyết phục
Height	Chiều cao
Physician	Bác sĩ
Assess	đánh giá
Sleep	Ngủ
Plenty	Nhiều
Ride	Dap xe
Virtually	Hầu như
First	Đầu tiên
Addition	Thêm vào
Sharp	Nhọn
Creative	Sáng tạo
Lower	Thấp hơn
Behind	Phía sau
Approve	Tán thành
Explanation	Giải trình
Outside	ở ngoài
Gay	Gay
Campus	Khuôn viên
Proper	Phù hợp
Live	Trực tiếp
Guilty	Tội lỗi
Living	Sống
Acquire	Có được, thu được
Compete	Cạnh tranh
Technical	Kỹ thuật
Plus	Thêm
Mind	Lí trí
Potential	Tiềm năng
Immigrant	Di trú
Weak	Yếu
Illegal	Bất hợp pháp
Hi	Chào
Alternative	Thay thế
Interaction	Sự tương tác
Column	Cột
Personality	Nhân cách
Signal	Tín hiệu
Curriculum	Chương trình giáo dục
List	Danh sách
Honor	Tôn vinh
Passenger	Hành khách
Assistance	Hỗ trợ
Forever	Mãi mãi
Fun	Vui vẻ
Regard	Quan tâm
Israeli	Israeli
Association	Hiệp hội
Twenty	Hai mươi
Knock	đánh
Review	ôn tập
Wrap	Bọc
Lab	Phòng thí nghiệm
Offer	Phục vụ
Display	Trưng bày
Criticism	Sự chỉ trích
Asset	Tài sản
Depression	Phiền muộn
Spiritual	Tinh thần
Musical	âm nhạc
Journalist	Nhà báo
Prayer	Cầu nguyện
Suspect	Nghi ngờ
Scholar	Học giả
Warning	Cảnh báo
Climate	Khí hậu
Cheese	Phô mai
Observation	Quan sát
Childhood	Thời thơ ấu
Payment	Thanh toán
Sir	Ngài
Permit	Cho phép
Cigarette	Thuốc lá
Definition	Định nghĩa
Priority	Sự ưu tiên
Bread	Bánh mỳ
Creation	Sự sáng tạo
Graduate	Tốt nghiệp
Request	Yêu cầu
Emotion	Cảm xúc
Scream	Hét lên
Dramatic	Kịch tính
Universe	Vũ trụ
Gap	Lỗ hổng
Excellent	Xuất sắc
Deeply	Sâu sắc
Prosecutor	Công tố viên
Mark	Dấu
Green	Màu xanh lá
Lucky	May mắn
Drag	Kéo
Airline	Hãng hàng không
Library	Thư viện
Agenda	Chương trình nghị sự
Recover	Bình phục
Factory	Nhà máy
Selection	Lựa chọn
Primarily	Chủ yếu
Roof	Mái nhà
Unable	Không thể
Expense	Chi phí
Initiative	Sáng kiến
Diet	Chế độ ăn
Arrest	Bắt giữ
Funding	Kinh phí
Therapy	Trị liệu
Wash	Rửa
Schedule	Kế hoạch
Sad	Buồn
Brief	Ngắn gọn
Housing	Nhà ở
Post	Bài đăng
Purchase	Mua, tựa vào, bám vào
Existing	Hiện tại
Dark	Tối
Steel	Thép
Regarding	Về
Shout	Kêu la
Remaining	Còn lại
Visual	Trực quan
Fairly	Công bằng
Chip	Chip
Violent	Hung bạo
Silent	Im lặng
Suppose	Giả sử
Self	Tự
Bike	Xe đạp
Tea	Trà
Perceive	Nhận thức
Comparison	So sánh
Settlement	Giải quyết
Layer	Lớp
Planning	Lập kế hoạch
Far	Xa
Description	Sự miêu tả
Later	Một lát sau
Slow	Chậm
Slide	Trượt
Widely	Rộng rãi
Wedding	Lễ cưới
Inform	Thông báo
Portion	Phần
Territory	Lãnh thổ
Immediate	Ngay lập tức
Opponent	Phản đối
Abandon	Từ bỏ
Link	Liên kết
Mass	Khối lượng
Lake	Hồ
Transform	Biến đổi
Tension	Căng thẳng
Display	Trưng bày
Leading	Dẫn đầu
Bother	Làm phiền
Consist	Bao gồm
Alcohol	Rượu
Enable	Cho phép
Bend	Bẻ cong
Saving (PL)	Tiết kiệm (PL)
Gain	Thu được
Desert	Sa mạc
Shall	Sẽ
Error	Lỗi
Release	Giải phóng
Cop	Cảnh sát
Arab	Arab
Double	Gấp đôi
Walk	đi bộ
Sand	Cát
Spanish	Người Tây Ban Nha
Rule	Qui định
Hit	đánh
Print	In
Preserve	Giữ gìn
Passage	đoạn văn
Formal	Chính thức
Transition	Quá trình chuyển đổi
Existence	Sự tồn tại
Album	Album
Participation	Sự tham gia
Arrange	Sắp xếp
Atmosphere	Không khí
Joint	Chung
Reply	Đáp lại
Cycle	Chu kỳ
Opposite	đối diện
Lock	Khóa
Whole	Toàn thể
Deserve	Xứng đáng
Consistent	Thích hợp
Resistance	Sức đề kháng
Discovery	Khám phá
Tear	Nước mắt
Exposure	Phơi bày
Pose	đặt ra
Stream	Suối
Sale	Buôn bán
Trust	Lòng tin
Benefit	Lợi ích
Pot	Nồi
Grand	Lớn
Mine	Tôi
Hello	Xin chào
Coalition	Liên minh
Tale	Câu chuyện
Knife	Dao
Resolve	Giải quyết
Racial	Chủng tộc
Phase	Giai đoạn
Present	Hiện tại
Joke	đùa
Coat	áo khoác
Mexican	Mexico
Symptom	Triệu chứng
Contact	Tiếp xúc
Manufacturer	Nhà chế tạo
Philosophy	Triết học
Potato	Khoai tây
Interview	Phỏng vấn
Foundation	Nền tảng
Quote	Trích dẫn
Online	Trực tuyến
Pass	Vượt qua
Negotiation	đàm phán
Good (PL)	Tốt (PL)
Urge	Thúc giục
Occasion	Dịp
Dust	Bụi bặm
Breathe	Thở
Elect	Trúng tuyển
Investigator	điều tra viên
Jacket	Áo khoác
Glad	Vui vẻ
Ordinary	Bình thường
Reduction	Giảm
Rarely	ít khi
Shift	Sự thay đổi
Pack	đóng gói
Suicide	Tự tử
Numerous	Nhiều
Touch	Chạm
Substance	Vật chất
Discipline	Kỷ luật
Elsewhere	ở nơi khác
Iron	Bàn là
Practical	Thiết thực
Moreover	Hơn thế nữa
Passion	Niềm đam mê
Volunteer	Tình nguyện
Implement	Thực hiện
Essentially	Bản chất
Gene	Gen
Enforcement	Thực thi
Vs	Vs
Sauce	Nước xốt
Independence	độc lập
Marketing	Tiếp thị
Priest	Thầy tu
Amazing	Kinh ngạc
Intense	Cường độ cao
Advance	Nâng cao
Employer	Nhà tuyển dụng
Shock	Sốc
Inspire	Truyền cảm hứng
Adjust	điều chỉnh
Retire	Về hưu
Sure	Chắc chắn rồi
Visible	Có thể nhìn thấy
Kiss	Hôn
Illness	Bệnh
Cap	Mũ lưỡi trai
Habit	Thói quen
Competitive	Cạnh tranh
Juice	Nước ép
Congressional	Quốc hội
Involvement	Sự tham gia
Dominate	Thống trị
Previously	Trước đây
Whenever	Bất cứ khi nào
Transfer	Chuyển khoản
Analyze	Phân tích
Another	Khác
Attach	đính kèm
For	Cho
Indian	Người Ấn Độ
Disaster	Thảm họa
Parking	Bãi đỗ xe
Prospect	Khách hàng tiềm năng
Boss	Trùm
Complaint	Lời phàn nàn
Championship	Chức vô địch
Coach	Huấn luyện viên
Exercise	Tập thể dục
Fundamental	Căn bản
Severe	Nghiêm trọng
Enhance	Nâng cao
Mystery	Huyền bí
Impose	áp đặt
Poverty	Nghèo nàn
Other	Khác
Entry	Nhập cảnh
Fat	Mập
Spending	Chi tiêu
King	Nhà vua
Evaluate	đánh giá
Symbol	Ký hiệu
Still	Vẫn
Trade	Buôn bán
Maker	Nhà sản xuất
Mood	Khí sắc
Accomplish	Hoàn thành
Emphasis	Nhấn mạnh
Illustrate	Minh họa
Boot	Khởi động
Monitor	Giám sát
Asian	Châu Á
Entertainment	Sự giải trí
Bean	Hạt đậu
Evaluation	đánh giá
Creature	Sinh vật
Commander	Chỉ huy
Digital	Kỹ thuật số
Arrangement	Sắp xếp
Concentrate	Tập trung
Total	Toàn bộ
Usual	Thường lệ
Anger	Sự phẫn nộ
Psychological	Tâm lý
Heavily	Nặng nề
Peak	Cao điểm
Approximately	Xấp xỉ
Increasing	Tăng
Disorder	Rối loạn
Missile	Tên lửa
Equally	Bằng nhau
Vary	Thay đổi
Wire	Dây điện
Round	Tròn
Distribution	Phân phối
Transportation	Vận chuyển
Holy	Thánh
Ring	Nhẫn
Twin	đôi
Command	Chỉ huy
Commission	Uỷ ban
Interpretation	Diễn dịch
Breakfast	Bữa ăn sáng
Stop	Dừng lại
Strongly	Mạnh mẽ
Engineering	Kỹ thuật
Luck	May mắn
So-called	Cái gọi là
Constant	Không thay đổi
Race	Cuộc đua
Clinic	Phòng khám bệnh
Veteran	Cựu chiến binh
Smell	Mùi
Tablespoon	Muỗng canh
Capable	Có khả năng
Nervous	Lo lắng
Tourist	Du lịch
Light	ánh sáng
Toss	Quăng
Crucial	Quan trọng
Bury	Chôn
Pray	Cầu nguyện
Tomato	Cà chua
Exception	Ngoại lệ
Butter	Bơ
Deficit	Thâm hụt
Bathroom	Phòng tắm
Objective	Mục tiêu
Block	Khối
Electronic	điện tử
Ally	đồng minh
Journey	Hành trình
Reputation	Uy tín
Mixture	Hỗn hợp
Surely	Chắc chắn
Tower	Tháp
Smoke	Hút thuốc lá
Confront	đối đầu
Pure	Nguyên chất
Glance	Nháy mắt
Dimension	Kích thước
Toy	đồ chơi
Prisoner	Tù nhân
Fellow	đồng bào
Smooth	Trơn tru
Nearby	Gần đó
Peer	Ngang nhau
Designer	Nhà thiết kế
Personnel	Nhân viên
Shape	Hình dạng
Educator	Nhà giáo dục
Relative	Quan hệ
Immigration	Nhập cư
Belt	Thắt lưng
Teaspoon	Muỗng cà phê
Birthday	Sinh nhật
Implication	Hàm ý
Perfectly	Hoàn hảo
Coast	Bờ biển
Supporter	Người ủng hộ
Accompany	đi kèm
Silver	Bạc
Teenager	Thiếu niên
Recognition	Sự công nhận
Retirement	Nghỉ hưu
Flag	Cờ
Recovery	Phục hồi
Whisper	Thì thầm
Watch	đồng hồ đeo tay
Gentleman	Quý ông
Corn	Ngô
Moon	Mặt trăng
Inner	Bên trong
Junior	Em
Rather	Hơn
Throat	Họng
Salary	Lương
Swing	Lung lay
Observer	Người quan sát
Due	đến hạn
Straight	Thẳng
Publication	Xuất bản
Pretty	đẹp
Crop	Mùa vụ
Dig	đào
Strike	đình công
Permanent	Dài hạn
Plant	Thực vật
Phenomenon	Hiện tượng
Anxiety	Sự lo ngại
Unlike	Không giống
Wet	ướt
Literally	Nghĩa đen
Resist	Kháng cự
Convention	Quy ước
Embrace	ôm hôn
Supply	Cung cấp
Assist	Hỗ trợ
Exhibition	Triển lãm
Construct	Xây dựng
Viewer	Người xem
Pan	Chảo
Consultant	Tư vấn
Soon	Sớm
Line	Hàng
Administrator	Người quản lý
Date	Ngày
Occasionally	Thỉnh thoảng
Mayor	Thị trưởng
Consideration	Xem xét
CEO	CEO
Secure	đảm bảo
Pink	Hồng
Smoke	Hút thuốc lá
Estimate	ước tính
Buck	Buck
Historic	Mang tính lịch sử
Poem	Bài thơ
Grandmother	Bà ngoại
Bind	Trói buộc
Fifth	Thứ năm
Constantly	Liên tục
Enterprise	Doanh nghiệp
Favor	ủng hộ
Testing	Thử nghiệm
Stomach	Dạ dày
Apparent	Rõ ràng
Weigh	Cân
Install	Cài đặt, dựng lên
Sensitive	Nhạy cảm
Suggestion	Gợi ý
Mail	Thư
Recipe	Công thức
Reasonable	Hợp lý
Preparation	Chuẩn bị
Wooden	Bằng gỗ
Elementary	Tiểu học
Concert	Buổi hòa nhạc
Aggressive	Xâm lược
FALSE	SAI
Intention	ý định
Channel	Kênh
Extreme	Cực
Tube	ống
Drawing	Vẽ
Protein	Chất đạm
Quit	Thoái lui
Absence	Vắng mặt
Roll	Cuộn
Latin	Latin
Rapidly	Nhanh chóng
Jail	Nhà giam
Comment	Bình luận
Diversity	Sự đa dạng
Honest	Thật thà
Palestinian	Palestine
Pace	Tốc độ
Employment	Việc làm
Speaker	Loa
Impression	ấn tượng
Essay	Tiểu luận
Respondent	Người trả lời
Giant	Khổng lồ
Cake	Bánh ngọt
Historian	Nhà sử học
Negotiate	đàm phán
Restore	Phục hồi
Substantial	đáng kể
Pop	Nhạc pop
Particular	Cụ thể
Specialist	Chuyên gia
Origin	Gốc
Approval	Sự chấp thuận
Mine	Tôi
Quietly	Lặng lẽ
Advise	Khuyên nhủ
Conventional	Thông thường
Drop	Rơi vãi
Count	đếm
Depth	Chiều sâu
Wealth	Sự giàu có
Disability	Khuyết tật
Shell	Vỏ
General	Chung
Criticize	Chỉ trích
Fast	Nhanh
Professional	Chuyên nghiệp
Effectively	Có hiệu quả
Biological	Sinh học
Pack	đóng gói
Onion	Củ hành
Deputy	Phó
Flat	Bằng phẳng
Brand	Nhãn hiệu
Assure	Cam đoan
Mad	điên
Award	Giải thưởng
Criteria	Tiêu chuẩn
Dealer	Người buôn bán
Via	Thông qua
Alternative	Thay thế
Utility	Tiện ích
Precisely	đúng
Arise	Nảy sinh
Armed	Trang bị
Nevertheless	Tuy nhiên
Highway	Xa lộ
Clinical	Lâm sàng
Routine	Công Việt Hằng ngày
Schedule	Kế hoạch
Wage	Tiền lương
Normally	Bình thường
Phrase	Cụm từ
Ingredient	Thành phần
Stake	Cổ phần
Muslim	Hồi giáo
Dream	Mơ tưởng
Fiber	Chất xơ
Activist	Nhà hoạt động
Islamic	Hồi giáo
Snap	Chụp nhanh
Terrorism	Khủng bố
Refugee	Người tị nạn
Incorporate	Kết hợp
Hip	Hông
Ultimate	Tối hậu
Switch	Công tắc điện
Corporation	Tập đoàn
Valuable	Quý giá
Assumption	Giả thiết
Gear	Hộp số
Graduate	Tốt nghiệp
Barrier	Rào chắn
Minor	Diễn viên phụ
Provision	điều khoản
Killer	Sát thủ
Assign	Chỉ định
Gang	Băng nhóm
Developing	Phát triển
Classic	Cổ điển
Chemical	Hóa chất
Wave	Làn sóng
Label	Nhãn
Teen	Thiếu niên
Index	Mục lục
Vacation	Kỳ nghỉ
Advocate	Biện hộ
Draft	Bản nháp
Extraordinary	Bất thường
